model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
meta-llama/Meta-Llama-3.1-8B,samsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:attention_vs_fairfloor,verdict,0.075,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,-0.1334,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,0.1128,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,-0.0243,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,-0.0243,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.2892,0.0735,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.2324,0.045,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.2913,0.0146,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,0.2051,0.0108,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_flat,this project,0.1804,0.0932,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_softmax,this project,0.2576,0.0256,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.2295,0.0579,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.2109,0.0651,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10,this project,0.1831,0.0373,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_blondel,this project,0.2456,0.0162,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2_blondel,this project,0.1365,0.0181,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10_blondel,this project,0.1135,0.0015,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,ptrue,reference baseline,0.0472,0.0491,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,lookback,reference baseline,0.2266,0.0697,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,0.308,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,-0.0121,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,samsum,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+expertqa:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,0.32,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_sum,reference baseline,0.1438,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_ppl,reference baseline,0.0393,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_min,reference baseline,0.2054,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,fair_floor,reference baseline,0.2054,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,saplma,reference baseline,0.1969,0.0875,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,uniform,this project,0.1551,0.0268,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,attention,this project,0.2215,0.013,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_norm,this project,0.0708,0.0506,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_seg_flat,this project,-0.0447,0.0541,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_seg_softmax,this project,-0.0195,0.0072,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink1_5,this project,0.1947,0.0572,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink2,this project,0.1753,0.054,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink10,this project,0.1278,0.0347,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_blondel,this project,0.1085,0.0548,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink2_blondel,this project,0.0626,0.0109,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink10_blondel,this project,0.0467,0.004,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,ptrue,reference baseline,0.1091,0.1298,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,lookback,reference baseline,-0.0743,0.028,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,VERDICT:bestw_vs_fairfloor,verdict,-0.0071,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,VERDICT:bestw_vs_bestpooler,verdict,-0.0403,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,VERDICT:attention_vs_fairfloor,verdict,0.0332,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,floor_sum,reference baseline,0.1438,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,floor_ppl,reference baseline,0.0393,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,floor_min,reference baseline,0.2054,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,fair_floor,reference baseline,0.2054,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,saplma,reference baseline,0.2013,0.0376,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,uniform,this project,0.1977,0.0184,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,attention,this project,0.2605,0.0121,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_norm,this project,0.0919,0.0689,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_seg_flat,this project,-0.0199,0.0117,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_seg_softmax,this project,-0.0437,0.047,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.1609,0.0453,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.1395,0.0447,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_shrink10,this project,0.1566,0.0517,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_blondel,this project,0.1125,0.0567,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_shrink2_blondel,this project,0.0807,0.0176,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,wmsp_shrink10_blondel,this project,0.051,0.004,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,ptrue,reference baseline,0.1724,0.124,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,lookback,reference baseline,-0.0011,0.1022,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,-0.0331,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,-0.1085,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,expertqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,0.0754,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,floor_sum,reference baseline,0.1483,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,floor_ppl,reference baseline,0.3161,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,floor_min,reference baseline,0.2498,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,fair_floor,reference baseline,0.2498,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,saplma,reference baseline,0.3936,0.0045,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,uniform,this project,0.3668,0.0193,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,attention,this project,0.3937,0.0093,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_norm,this project,0.2064,0.0444,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_seg_flat,this project,0.3049,0.0051,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_seg_softmax,this project,0.2673,0.0338,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_shrink1_5,this project,0.2982,0.0079,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_shrink2,this project,0.3131,0.0239,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_shrink10,this project,0.3507,0.0084,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_blondel,this project,0.3028,0.0431,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_shrink2_blondel,this project,0.333,0.0059,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,wmsp_shrink10_blondel,this project,0.3183,0.0016,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,ptrue,reference baseline,0.1685,0.0134,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,lookback,reference baseline,0.1719,0.0284,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,VERDICT:bestw_vs_fairfloor,verdict,0.1107,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,VERDICT:bestw_vs_bestpooler,verdict,-0.0413,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,SameTask-long,pubmed_qa:900+med_quad:900,VERDICT:attention_vs_fairfloor,verdict,0.1521,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,floor_sum,reference baseline,0.1483,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,floor_ppl,reference baseline,0.3161,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,floor_min,reference baseline,0.2498,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,fair_floor,reference baseline,0.2498,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,saplma,reference baseline,0.3472,0.0139,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,uniform,this project,0.3054,0.0293,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,attention,this project,0.2736,0.0113,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_norm,this project,0.2824,0.0325,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_seg_flat,this project,0.2807,0.0219,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_seg_softmax,this project,0.2734,0.0235,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_shrink1_5,this project,0.4256,0.0473,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_shrink2,this project,0.441,0.0399,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_shrink10,this project,0.4305,0.0104,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_blondel,this project,0.3235,0.0618,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_shrink2_blondel,this project,0.3694,0.0079,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,wmsp_shrink10_blondel,this project,0.3252,0.0013,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,ptrue,reference baseline,0.1995,0.1796,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,lookback,reference baseline,0.0023,0.031,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,0.2547,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,0.1786,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,asqa,LOO-long,pubmed_qa:257+xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,0.0483,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_sum,reference baseline,0.2821,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_ppl,reference baseline,0.326,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,floor_min,reference baseline,0.4283,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,fair_floor,reference baseline,0.4283,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,saplma,reference baseline,0.4264,0.0752,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,uniform,this project,0.4203,0.0692,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,attention,this project,0.3864,0.0807,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_norm,this project,0.2094,0.0926,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_seg_flat,this project,0.3163,0.0249,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_seg_softmax,this project,0.2308,0.033,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink1_5,this project,0.2727,0.0465,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink2,this project,0.2698,0.025,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink10,this project,0.3435,0.0142,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_blondel,this project,0.2306,0.0848,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,factscore,DiffTask-long,pubmed_qa:300+xsum:300+cnn_dailymail:300+med_quad:300+samsum:300+asqa:300,wmsp_shrink2_blondel,this project,0.3416,0.0056,3,,corrected-span master,40,yes
